/M0/D (vbias=0.5) X,/M0/D (vbias=0.5) Y,/M0/D (vbias=0.675) X,/M0/D (vbias=0.675) Y,/M0/D (vbias=0.85) X,/M0/D (vbias=0.85) Y,/M0/D (vbias=1.025) X,/M0/D (vbias=1.025) Y,/M0/D (vbias=1.2) X,/M0/D (vbias=1.2) Y
0,-3.578567471980052e-13,0,-2.133631582055259e-12,0,-7.411639040477745e-12,0,-2.065282146490086e-11,0,-5.104911749286982e-11
0.024,4.049749035635443e-07,0.024,1.463260894137012e-06,0.024,2.663489654477396e-06,0.024,3.719489366904267e-06,0.024,4.574946118776306e-06
0.048,6.900039535862553e-07,0.048,2.744374359125628e-06,0.048,5.130891392455077e-06,0.048,7.245586643762193e-06,0.048,8.966717711684417e-06
0.07200000000000001,8.655355992828984e-07,0.07200000000000001,3.846015980638025e-06,0.07200000000000001,7.404299888279709e-06,0.07200000000000001,1.057997737744842e-05,0.07200000000000001,1.31765909980403e-05
0.096,9.560023187399284e-07,0.096,4.771333474467015e-06,0.096,9.485843090067393e-06,0.096,1.372437240928224e-05,0.096,1.720589994304569e-05
0.12,9.982802243276022e-07,0.12,5.524494031142223e-06,0.12,1.137769878069998e-05,0.12,1.668048967238485e-05,0.12,2.105598511638074e-05
0.144,1.020898924601737e-06,0.144,6.111894936777466e-06,0.144,1.308213507049827e-05,0.144,1.945005808531994e-05,0.144,2.472819406398578e-05
0.168,1.036381940524501e-06,0.168,6.544669613118239e-06,0.168,1.460158063263573e-05,0.168,2.203482346860273e-05,0.168,2.822388195454938e-05
0.192,1.049040115888233e-06,0.192,6.842698038436049e-06,0.192,1.593875004352567e-05,0.192,2.443655759016007e-05,0.192,3.154441261985155e-05
0.216,1.060389429807946e-06,0.216,7.037018675939788e-06,0.216,1.709687316508729e-05,0.216,2.665707214384787e-05,0.216,3.469116014786202e-05
0.24,1.071027877701827e-06,0.24,7.163914900673571e-06,0.24,1.808012130364876e-05,0.24,2.869824067190616e-05,0.24,3.766551126133715e-05
0.264,1.081221945894379e-06,0.264,7.253074579641464e-06,0.264,1.889439212886515e-05,0.264,3.056203355161854e-05,0.264,4.046886883010795e-05
0.288,1.091103860221724e-06,0.288,7.322448014136622e-06,0.288,1.954867116862325e-05,0.288,3.225057489324016e-05,0.288,4.310265704629612e-05
0.312,1.100745523215353e-06,0.312,7.381173342577578e-06,0.312,2.005701959595975e-05,0.312,3.376623679004788e-05,0.312,4.55683290794363e-05
